01-May-2022 18:16:42.235141,BUY_BUY_SELL, BTC/USDT,BLZ/BTC,BLZ/USDT,-0.631
01-May-2022 18:16:45.100390,BUY_SELL_SELL, BLZ/USDT,BLZ/BTC,BTC/USDT,0.027
01-May-2022 18:16:48.110716,BUY_BUY_SELL, BTC/USDT,ZIL/BTC,ZIL/USDT,-0.288
01-May-2022 18:16:51.231343,BUY_SELL_SELL, ZIL/USDT,ZIL/BTC,BTC/USDT,-0.247
01-May-2022 18:16:54.126854,BUY_BUY_SELL, BTC/USDT,ONT/BTC,ONT/USDT,-0.123
01-May-2022 18:16:57.027243,BUY_SELL_SELL, ONT/USDT,ONT/BTC,BTC/USDT,0.025
01-May-2022 18:16:59.928824,BUY_BUY_SELL, BTC/USDT,STORM/BTC,STORM/USDT,-100.0
01-May-2022 18:17:02.817365,BUY_SELL_SELL, STORM/USDT,STORM/BTC,BTC/USDT,-100.0
01-May-2022 18:17:05.759179,BUY_BUY_SELL, BTC/USDT,XEM/BTC,XEM/USDT,-0.375
01-May-2022 18:17:08.654135,BUY_SELL_SELL, XEM/USDT,XEM/BTC,BTC/USDT,-0.083
01-May-2022 18:17:11.522917,BUY_BUY_SELL, BTC/USDT,WAN/BTC,WAN/USDT,-0.253
01-May-2022 18:17:15.332494,BUY_SELL_SELL, WAN/USDT,WAN/BTC,BTC/USDT,-0.073
01-May-2022 18:17:19.150699,BUY_BUY_SELL, BTC/USDT,SYS/BTC,SYS/USDT,-0.173
01-May-2022 18:17:23.019580,BUY_SELL_SELL, SYS/USDT,SYS/BTC,BTC/USDT,-0.112
01-May-2022 18:17:26.915079,BUY_BUY_SELL, BTC/USDT,REP/BTC,REP/USDT,-0.311
01-May-2022 18:17:29.795836,BUY_SELL_SELL, REP/USDT,REP/BTC,BTC/USDT,-0.022
01-May-2022 18:17:33.914952,BUY_BUY_SELL, BTC/USDT,TUSD/BTC,TUSD/USDT,-100.0
01-May-2022 18:17:37.746810,BUY_SELL_SELL, TUSD/USDT,TUSD/BTC,BTC/USDT,-100.0
01-May-2022 18:17:40.643694,BUY_BUY_SELL, BTC/USDT,ZEN/BTC,ZEN/USDT,-0.141
01-May-2022 18:17:43.522433,BUY_SELL_SELL, ZEN/USDT,ZEN/BTC,BTC/USDT,-0.054
01-May-2022 18:17:46.444246,BUY_BUY_SELL, BTC/USDT,CVC/BTC,CVC/USDT,-0.23
01-May-2022 18:17:49.330315,BUY_SELL_SELL, CVC/USDT,CVC/BTC,BTC/USDT,-0.065
01-May-2022 18:17:52.242268,BUY_BUY_SELL, BTC/USDT,THETA/BTC,THETA/USDT,-0.151
01-May-2022 18:17:55.125282,BUY_SELL_SELL, THETA/USDT,THETA/BTC,BTC/USDT,0.033
01-May-2022 18:17:58.012298,BUY_BUY_SELL, BTC/USDT,IOTX/BTC,IOTX/USDT,-0.514
01-May-2022 18:18:00.895592,BUY_SELL_SELL, IOTX/USDT,IOTX/BTC,BTC/USDT,-0.099
01-May-2022 18:18:03.788381,BUY_BUY_SELL, BTC/USDT,DATA/BTC,DATA/USDT,-0.55
01-May-2022 18:18:06.672285,BUY_SELL_SELL, DATA/USDT,DATA/BTC,BTC/USDT,-0.042
